,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
106,7072,298.15,101.0,Liquid,2,O,Solvent,0.25064,,OCC(O)CO,Solvent,0.74936,,1.2418100000000003,,,,10.1016/j.tca.2013.07.012
107,7073,298.15,101.0,Liquid,2,O,Solvent,0.2192,,OCC(O)CO,Solvent,0.7808,,,,-0.292,,10.1016/j.tca.2009.06.004
108,7074,298.15,101.0,Liquid,2,O,Solvent,0.5022,,OCC(O)CO,Solvent,0.4978,,,,-0.547,,10.1016/j.tca.2009.06.004
109,7075,298.15,101.0,Liquid,2,O,Solvent,0.8005,,OCC(O)CO,Solvent,0.1995,,,,-0.56,,10.1016/j.tca.2009.06.004
110,7130,293.15,101.0,Liquid,2,CN1CCOCC1,Solvent,0.2538,,O,Solvent,0.7462,,0.9918800000000002,,,,10.1021/je800197t
111,7131,293.15,101.0,Liquid,2,CN1CCOCC1,Solvent,0.4983,,O,Solvent,0.5017,,0.9627600000000002,,,,10.1021/je800197t
112,7132,293.15,101.0,Liquid,2,CN1CCOCC1,Solvent,0.7587,,O,Solvent,0.2413,,0.9345300000000002,,,,10.1021/je800197t
113,7187,303.2,101.0,Liquid,2,CCCOC(C)=O,Solvent,0.831128,,O,Solvent,0.168872,,0.8943440000000002,,,,10.1016/j.fluid.2012.07.032
114,7290,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.298,,O,Solvent,0.702,,1.0309000000000004,,,,10.1021/je020191g
115,7291,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.498,,O,Solvent,0.502,,1.0255000000000003,,,,10.1021/je020191g
116,7292,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.793,,O,Solvent,0.207,,1.0057000000000005,,,,10.1021/je020191g
117,7293,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.201,,O,Solvent,0.799,,,,-2.758,,10.1016/j.jct.2015.06.006
118,7294,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.4911,,O,Solvent,0.5089,,,,-3.131,,10.1016/j.jct.2015.06.006
119,7295,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.7149,,O,Solvent,0.2851,,,,-1.753,,10.1016/j.jct.2015.06.006
120,7344,303.15,100.0,Liquid,2,NCCCNCCCN,Solvent,0.3005,,O,Solvent,0.6995,,,,-6.588,,10.1016/j.jct.2015.04.030
121,7345,303.15,100.0,Liquid,2,NCCCNCCCN,Solvent,0.4998,,O,Solvent,0.5002,,,,-5.544,,10.1016/j.jct.2015.04.030
122,7346,303.15,100.0,Liquid,2,NCCCNCCCN,Solvent,0.8015,,O,Solvent,0.1985,,,,-2.233,,10.1016/j.jct.2015.04.030
